[min90] hizli tarama basladi
[min90/min90_sentetik_2700_per_class_pima/no_skinthickness_clinical_interactions/adaboost] min=0.9729 acc=0.9738 auc=0.9977
[min90/min90_sentetik_2700_per_class_pima/no_skinthickness_clinical_interactions/mlp] min=0.9620 acc=0.9720 auc=0.9947
[min90/min90_sentetik_2700_per_class_pima/no_skinthickness_clinical_interactions/xgboost] min=0.9747 acc=0.9756 auc=0.9977
[min90/min90_sentetik_2700_per_class_pima/no_skinthickness_clinical_interactions/lightgbm] min=0.9747 acc=0.9774 auc=0.9976
[min90/min90_sentetik_2700_per_class_pima/no_skinthickness_clinical_interactions/soft_voting_rf_et_hgb] min=0.9747 acc=0.9774 auc=0.9981
[min90/min90_sentetik_2700_per_class_pima/no_skinthickness_clinical_interactions/soft_voting_xgb_lgbm_et] min=0.9729 acc=0.9774 auc=0.9981
[min90/min90_sentetik_2700_per_class_pima/compact_best_features/logistic_regression] min=0.9711 acc=0.9756 auc=0.9983
[min90/min90_sentetik_2700_per_class_pima/compact_best_features/gaussian_nb] min=0.9693 acc=0.9765 auc=0.9964
[min90/min90_sentetik_2700_per_class_pima/compact_best_features/knn] min=0.9693 acc=0.9747 auc=0.9931
[min90/min90_sentetik_2700_per_class_pima/compact_best_features/svm_rbf] min=0.9675 acc=0.9711 auc=0.9981
[min90/min90_sentetik_2700_per_class_pima/compact_best_features/random_forest] min=0.9638 acc=0.9720 auc=0.9975
[min90/min90_sentetik_2700_per_class_pima/compact_best_features/extra_trees] min=0.9656 acc=0.9720 auc=0.9973
[min90/min90_sentetik_2700_per_class_pima/compact_best_features/gradient_boosting] min=0.9620 acc=0.9702 auc=0.9971
[min90/min90_sentetik_2700_per_class_pima/compact_best_features/hist_gradient_boosting] min=0.9548 acc=0.9675 auc=0.9963
[min90/min90_sentetik_2700_per_class_pima/compact_best_features/adaboost] min=0.9693 acc=0.9747 auc=0.9978
[min90/min90_sentetik_2700_per_class_pima/compact_best_features/mlp] min=0.9602 acc=0.9693 auc=0.9976
[min90/min90_sentetik_2700_per_class_pima/compact_best_features/xgboost] min=0.9620 acc=0.9729 auc=0.9970
[min90/min90_sentetik_2700_per_class_pima/compact_best_features/lightgbm] min=0.9584 acc=0.9702 auc=0.9966
[min90/min90_sentetik_2700_per_class_pima/compact_best_features/soft_voting_rf_et_hgb] min=0.9620 acc=0.9729 auc=0.9975
[min90/min90_sentetik_2700_per_class_pima/compact_best_features/soft_voting_xgb_lgbm_et] min=0.9566 acc=0.9711 auc=0.9973
[min90/min90_sentetik_2700_per_class_pima/high_signal_features/logistic_regression] min=0.9711 acc=0.9774 auc=0.9982
[min90/min90_sentetik_2700_per_class_pima/high_signal_features/gaussian_nb] min=0.9747 acc=0.9765 auc=0.9973
